Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools
Deputy IT Manager for Infrastructure,Nile University,"Sheikh Zayed, Giza",Manager,8 to 10 years,Information Technology (IT) | Engineering | Networking | Project Management | Software | CCNA | Computer Science | English | Infrastructure | Linux | Management | SQL
Control Engineer,Activa International,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | control | Automation | Computer Science | Electronics | Management | Project Management | Quality Assurance | Quality Control
Senior Talent Acquisition Specialist,Egyptian Packaging and P...,"Manial, Cairo",Experienced (Non-Manager),3 to 7 years,Communication | HR | English | Human Resources (HR) | Interviewing | media | Microsoft Office | office | Recruitment | Social Media | Sourcing | Talent acquisition
Senior Full stack Developer (.Net Core & Angular),BI-Technologies,"New Cairo, Cairo",Experienced (Non-Manager),3 to 6 years,ASP.NET | Software Development | .NET | Information Technology (IT) | Full Stack | Computer Science | Computer Engineering | Database Design | Data Modeling | Process Modeling | ERP | DFD | C# | CSS3 | javaScript | HTML5 | jQuery | Angular | ADO.NET | Entity Framework | SOLID | SolidWorks | .Net Core | Agile Methodologies | SQL Server | Programming | SQL | MVC
IT Infrastructure Engineer,KAIZEN GENRAL CONTRACTIN...,"Zagazig, Sharqia",Experienced (Non-Manager),3 to 8 years,"Network Administration | IT Infrastructure Administration | Network Security and Cybersecurity | ERP Administration and Support | Computer Science | Technical Support and Troubleshooting | Microsoft 365 | Cloud Services | AI and Workflow Automation | Database, Integration, and Reporting | Vendor and IT Asset Management | Communication and Documentation"
Sales Operations Specialist,Kgroup,"Katameya, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Sales Operations | ERP Sales
Mid-Level Cloud Native Engineer,"Confidential Company - Maadi, Cairo","Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Helm | Argo CD | Computer Science | Istio | Git | Information Technology (IT) | Linux | Cilium | Ceph | Vault | Open Policy Agent | Kafka | RabbitMQ | Kubernetes | DevOps
ClickUp Administrator / Systems & Operations Specialist,United Elite Company    ...,"Cairo, Egypt",Experienced (Non-Manager),2 to 3 years,Information Technology (IT) | Administration | Analysis | Communication | Computer Science | HR | Recruitment | Reporting | Sales
Middle Data Scientist,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 2 years,Data Analysis | Machine Learning | Statistical Modeling | Data Visualization | Big Data Technologies | Problem Solving | Communication | LLM orchestration tools | Databases | Data Science | AI | Computer Science | Engineering | Information Technology (IT) | MongoDB | Python | NLP | Spark | SQL
Project Management Engineer,MCV - Obour,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 5 years,Computer Science | Engineering | Information Technology (IT) | Management | Project | Project Management
Odoo ERP Implementer,K Line Europe,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | Information Technology (IT) | Odoo | Odoo ERP | ERP
Solution Architect,Youxel,"Maadi, Cairo",Manager,10 to 15 years,Solution Architecture | Software Development | ASP.NET Core | Software Engineering | AWS | Azure | Cloud | Computer Engineering | Computer Science | Engineering | Information Technology (IT) | Java
Operation Engineer Assistant,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),More than 3 years,Engineering | Management | SQL | Communication | Computer Science | Information Technology (IT) | Data Analysis | Microsoft SQL Server | AI | Workforce Administration | Vendor Management
Odoo Developer,"Confidential Company - Mokattam, Cairo","Mokattam, Cairo",Experienced (Non-Manager),2 to 4 years,Information Technology (IT) | Odoo | Computer Science | CSS | Engineering | HTML | JavaScript | PostgreSQL | Python | Software Engineering | SQL | XML
ERP Application Support,Ibn Sina Pharma,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Application Support | Computer Science | Customer Support | ERP Application | Information Technology (IT) | ERP | Troubleshooting | System Administration | Database Management | Problem Solving | Communication Skills | SQL | Process Improvement | ITIL | Database | Technical Support
Junior Data Analyst,Carina Wear,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Analysis | Computer Science | SQL | Microsoft Excel
Instrumentation & Control Engineer,Activa International,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | control | Automation | Computer Science | Electronics | Management | Project Management | Quality Assurance | Quality Control
Mid-level Manual QA Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 2 years,Manual Testing | Test Case Design | Bug Tracking | Regression Testing | Functional Testing | Analytical Skills | Problem-Solving | Communication | Teamwork | Attention to Detail | API Testing | Computer Science | Information Technology (IT) | Java | QA | Quality Control | Python | Software Development | Testing | SQL
IT Section Head,MMC for Investment,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,IT Infrastructure Management | IT Operations Management | Network Administration | Cybersecurity | SIEM | IDS/IPS | VPN | Access Control Systems | endpoint security
Chemist Operator - (RO),Taqa Water,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Chemistry | Operations Support System (OSS) | English
IT Manager,"Confidential Company - 10th of Ramadan City, Sharqia","10th of Ramadan City, Sharqia",Manager,7 to 12 years,Network Administration | Infrastructure Management | Windows Server | Active Directory | Microsoft Office 365 | Vmware | Hyper-V | TCP/IP | DNS | DHCP | Firewall | Network Security | Cybersecurity | Backup Solutions | Disaster Recovery | ERP System | SQL Server | CCTV System | vLAN | VPN | SAN Storage | IT Service Management | HelpDesk | ITIL | Information Technology (IT)
Security Engineer,Misr International Syste...,"Sheikh Zayed, Giza",Experienced (Non-Manager),3 to 5 years,data encryption | Thales | Cybersecurity | Data Security | Computer Science | Engineering | Information Technology (IT) | Security
Jira Administrator,TECHNOSAT,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,JIRA | Information Technology (IT) | Jira Service Management (JSM) | Confluence | Jira Data Center | ScriptRunner | JMWE | EazyBI | ACP-120 | Maintenance | Linux | Computer Science | ACP-420 | ACP-620 | ITIL
